Price,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
Date,,,,,,,,
2018-01-02,59.45050048828125,59.45050048828125,0.0,59.5,58.5255012512207,58.599998474121094,0.0,53890000
2018-01-03,60.209999084472656,60.209999084472656,0.0,60.27450180053711,59.415000915527344,59.415000915527344,0.0,62176000
2018-01-04,60.47949981689453,60.47949981689453,0.0,60.79349899291992,60.233001708984375,60.25,0.0,60442000
2018-01-05,61.457000732421875,61.457000732421875,0.0,61.457000732421875,60.5,60.8754997253418,0.0,70894000
2018-01-08,62.34349822998047,62.34349822998047,0.0,62.65399932861328,61.60150146484375,61.79999923706055,0.0,85590000
2018-01-09,62.6349983215332,62.6349983215332,0.0,62.96649932861328,62.0880012512207,62.845001220703125,0.0,73226000
2018-01-10,62.71649932861328,62.71649932861328,0.0,62.71649932861328,61.86149978637695,62.25749969482422,0.0,53720000
2018-01-11,63.83399963378906,63.83399963378906,0.0,63.8385009765625,62.823001861572266,62.98699951171875,0.0,62500000
2018-01-12,65.26000213623047,65.26000213623047,0.0,65.28800201416016,63.669498443603516,63.669498443603516,0.0,108874000
2018-01-16,65.24299621582031,65.24299621582031,0.0,66.99700164794922,64.61499786376953,66.1500015258789,0.0,144414000
2018-01-17,64.75,64.75,0.0,65.69999694824219,64.04399871826172,65.61199951171875,0.0,105076000
2018-01-18,64.66600036621094,64.66600036621094,0.0,65.2300033569336,64.20099639892578,64.69750213623047,0.0,80538000
2018-01-19,64.72899627685547,64.72899627685547,0.0,65.6500015258789,64.64949798583984,65.5999984741211,0.0,91570000
2018-01-22,66.3655014038086,66.3655014038086,0.0,66.37249755859375,64.83300018310547,64.8584976196289,0.0,82802000
2018-01-23,68.12699890136719,68.12699890136719,0.0,68.24500274658203,66.86699676513672,66.90450286865234,0.0,103386000
2018-01-24,67.87550354003906,67.87550354003906,0.0,69.40799713134766,66.9000015258789,68.74099731445312,0.0,136150000
2018-01-25,68.89749908447266,68.89749908447266,0.0,68.91699981689453,67.88099670410156,68.4000015258789,0.0,95060000
2018-01-26,70.10250091552734,70.10250091552734,0.0,70.12650299072266,69.04550170898438,69.60050201416016,0.0,97146000
2018-01-29,70.88400268554688,70.88400268554688,0.0,71.56950378417969,70.02200317382812,70.45899963378906,0.0,114038000
2018-01-30,71.89099884033203,71.89099884033203,0.0,71.9625015258789,69.5999984741211,70.15850067138672,0.0,117438000
2018-01-31,72.54450225830078,72.54450225830078,0.0,73.62899780273438,72.50199890136719,72.56500244140625,0.0,128494000
2018-02-01,69.5,69.5,0.0,72.99400329589844,69.25700378417969,72.25,0.0,182276000
2018-02-02,71.49749755859375,71.49749755859375,0.0,74.9000015258789,70.69999694824219,73.86949920654297,0.0,222514000
2018-02-05,69.5,69.5,0.0,72.9489974975586,66.03600311279297,70.13099670410156,0.0,229900000
2018-02-06,72.14199829101562,72.14199829101562,0.0,72.19950103759766,67.5895004272461,68.072998046875,0.0,221336000
2018-02-07,70.83899688720703,70.83899688720703,0.0,73.04949951171875,70.75749969482422,72.44999694824219,0.0,143254000
2018-02-08,67.5250015258789,67.5250015258789,0.0,71.6875,67.49700164794922,71.48400115966797,0.0,171572000
2018-02-09,66.9800033569336,66.9800033569336,0.0,69.17500305175781,63.29650115966797,68.67449951171875,0.0,282830000
2018-02-12,69.3115005493164,69.3115005493164,0.0,69.69049835205078,67.20050048828125,68.2334976196289,0.0,134778000
2018-02-13,70.72550201416016,70.72550201416016,0.0,70.98600006103516,69.17649841308594,69.29650115966797,0.0,118358000
2018-02-14,72.55249786376953,72.55249786376953,0.0,72.60299682617188,70.16799926757812,70.3125,0.0,119184000
2018-02-15,73.08799743652344,73.08799743652344,0.0,73.4469985961914,71.84200286865234,73.34449768066406,0.0,113054000
2018-02-16,72.43450164794922,72.43450164794922,0.0,73.29000091552734,72.3280029296875,72.86849975585938,0.0,89452000
2018-02-20,73.4175033569336,73.4175033569336,0.0,74.4384994506836,72.32450103759766,72.32450103759766,0.0,129984000
2018-02-21,74.14600372314453,74.14600372314453,0.0,75.17449951171875,73.94599914550781,74.25,0.0,126088000
2018-02-22,74.26699829101562,74.26699829101562,0.0,75.12699890136719,73.78800201416016,74.76799774169922,0.0,97162000
2018-02-23,75.0,75.0,0.0,75.0,74.32499694824219,74.76699829101562,0.0,88362000
2018-02-26,76.09750366210938,76.09750366210938,0.0,76.14199829101562,75.3499984741211,75.45999908447266,0.0,99100000
2018-02-27,75.5989990234375,75.5989990234375,0.0,76.33899688720703,75.3604965209961,76.2249984741211,0.0,96176000
2018-02-28,75.62249755859375,75.62249755859375,0.0,76.43499755859375,75.5999984741211,75.97550201416016,0.0,90300000
2018-03-01,74.67250061035156,74.67250061035156,0.0,75.92449951171875,73.25,75.68000030517578,0.0,136704000
2018-03-02,75.01249694824219,75.01249694824219,0.0,75.05249786376953,72.75050354003906,73.45500183105469,0.0,131752000
2018-03-05,76.18049621582031,76.18049621582031,0.0,76.26899719238281,74.05000305175781,74.71199798583984,0.0,104678000
2018-03-06,76.88200378417969,76.88200378417969,0.0,77.10649871826172,76.4000015258789,76.66000366210938,0.0,91234000
2018-03-07,77.25,77.25,0.0,77.29499816894531,76.12550354003906,76.32599639892578,0.0,83482000
2018-03-08,77.59300231933594,77.59300231933594,0.0,77.74400329589844,77.26249694824219,77.5,0.0,77252000
2018-03-09,78.94450378417969,78.94450378417969,0.0,78.9469985961914,77.9540023803711,78.17500305175781,0.0,90686000
2018-03-12,79.91950225830078,79.91950225830078,0.0,80.2665023803711,79.33499908447266,79.62999725341797,0.0,103484000
