Price,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,META,META,META,META,META,META,META,META
Date,,,,,,,,
2018-01-02,180.1614990234375,181.4199981689453,0.0,181.5800018310547,177.5500030517578,177.67999267578125,0.0,18151900
2018-01-03,183.38894653320312,184.6699981689453,0.0,184.77999877929688,181.3300018310547,181.8800048828125,0.0,16886600
2018-01-04,183.05133056640625,184.3300018310547,0.0,186.2100067138672,184.10000610351562,184.89999389648438,0.0,13880900
2018-01-05,185.55386352539062,186.85000610351562,0.0,186.89999389648438,184.92999267578125,185.58999633789062,0.0,13574500
2018-01-08,186.97393798828125,188.27999877929688,0.0,188.89999389648438,186.3300018310547,187.1999969482422,0.0,17994700
2018-01-09,186.5667724609375,187.8699951171875,0.0,188.8000030517578,187.10000610351562,188.6999969482422,0.0,12393100
2018-01-10,186.53697204589844,187.83999633789062,0.0,187.88999938964844,185.6300048828125,186.94000244140625,0.0,10529900
2018-01-11,186.4674835205078,187.77000427246094,0.0,188.39999389648438,187.3800048828125,188.39999389648438,0.0,9588600
2018-01-12,178.12571716308594,179.3699951171875,0.0,181.47999572753906,177.39999389648438,178.05999755859375,0.0,77551300
2018-01-16,177.15252685546875,178.38999938964844,0.0,181.75,178.0399932861328,181.5,0.0,36183800
2018-01-17,176.36802673339844,177.60000610351562,0.0,179.32000732421875,175.8000030517578,179.25999450683594,0.0,27992400
2018-01-18,178.55276489257812,179.8000030517578,0.0,180.97999572753906,177.0800018310547,178.1300048828125,0.0,23304900
2018-01-19,180.0323944091797,181.2899932861328,0.0,182.3699951171875,180.1699981689453,180.85000610351562,0.0,26826500
2018-01-22,184.0841064453125,185.3699951171875,0.0,185.38999938964844,180.41000366210938,180.8000030517578,0.0,21059500
2018-01-23,188.03651428222656,189.35000610351562,0.0,189.5500030517578,185.5500030517578,186.0500030517578,0.0,25678800
2018-01-24,185.25592041015625,186.5500030517578,0.0,190.66000366210938,186.52000427246094,189.88999938964844,0.0,24334500
2018-01-25,186.17947387695312,187.47999572753906,0.0,188.6199951171875,186.60000610351562,187.9499969482422,0.0,17377700
2018-01-26,188.68197631835938,190.0,0.0,190.0,186.80999755859375,187.75,0.0,17759200
2018-01-29,184.6898956298828,185.97999572753906,0.0,188.83999633789062,185.6300048828125,188.75,0.0,20453200
